type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount
Dairy,83,Corporate,199,Frozen,Regular,Summer,Finger Food,Mansoura,Moderate,64
Fruits,205,Wedding,365,Room Temperature,Occasional,Spring,Plated,Delta,High,76
Bakery,356,Birthday,530,Room Temperature,Regular,Spring,Finger Food,Delta,High,83
Meat,178,Wedding,327,Room Temperature,Regular,Summer,Finger Food,Giza,High,29
Fruits,206,Birthday,393,Frozen,Occasional,Summer,Finger Food,Delta,Moderate,90
Vegetables,443,Birthday,352,Refrigerated,Occasional,Autumn,Plated,Alexandria,Low,64
Bakery,316,Birthday,170,Frozen,Occasional,Winter,Buffet,Delta,High,48
Vegetables,381,Festival,433,Refrigerated,Occasional,Spring,Plated,Alexandria,High,63
Bakery,224,Birthday,310,Frozen,Regular,Summer,Buffet,Mansoura,High,55
Meat,84,Birthday,310,Room Temperature,Occasional,Autumn,Plated,Alexandria,High,77
Dairy,151,Wedding,102,Room Temperature,Occasional,Autumn,Buffet,Mansoura,Moderate,54
Fruits,111,Birthday,235,Refrigerated,Occasional,All Seasons,Buffet,Cairo,Moderate,18
Bakery,324,Wedding,180,Refrigerated,Occasional,Winter,Buffet,Upper Egypt,High,12
Meat,107,Wedding,333,Room Temperature,Occasional,Winter,Buffet,Giza,High,82
Bakery,434,Wedding,412,Refrigerated,Regular,All Seasons,Plated,Delta,Moderate,33
Vegetables,462,Festival,258,Frozen,Regular,Winter,Buffet,Delta,High,83
Fruits,464,Festival,177,Refrigerated,Regular,Spring,Buffet,Giza,Moderate,83
Vegetables,138,Birthday,336,Refrigerated,Regular,Winter,Plated,Alexandria,Moderate,79
Bakery,484,Festival,506,Refrigerated,Regular,All Seasons,Buffet,Mansoura,High,61
Dairy,126,Festival,439,Refrigerated,Occasional,Winter,Plated,Mansoura,Moderate,72
Fruits,214,Corporate,561,Frozen,Occasional,Spring,Plated,Giza,Moderate,23
Meat,357,Festival,222,Room Temperature,Regular,Winter,Finger Food,Alexandria,Moderate,40
Vegetables,416,Wedding,286,Room Temperature,Occasional,All Seasons,Plated,Delta,Low,87
Meat,281,Corporate,448,Frozen,Occasional,Summer,Finger Food,Cairo,Moderate,60
Dairy,267,Corporate,497,Room Temperature,Occasional,Winter,Finger Food,Alexandria,Moderate,66
Vegetables,136,Birthday,579,Frozen,Regular,All Seasons,Finger Food,Alexandria,Low,34
Meat,412,Birthday,144,Frozen,Regular,Summer,Buffet,Delta,Moderate,62
Vegetables,200,Birthday,496,Room Temperature,Regular,Winter,Finger Food,Alexandria,Low,71
Meat,168,Corporate,103,Frozen,Regular,Summer,Plated,Mansoura,Moderate,26
Vegetables,58,Birthday,128,Refrigerated,Regular,Summer,Buffet,Delta,Low,64
Bakery,439,Wedding,233,Refrigerated,Regular,Winter,Buffet,Alexandria,Low,39
Bakery,466,Corporate,562,Frozen,Regular,Spring,Buffet,Giza,Low,65
Vegetables,483,Birthday,297,Frozen,Occasional,Autumn,Finger Food,Mansoura,Low,63
Vegetables,413,Corporate,304,Refrigerated,Regular,All Seasons,Finger Food,Giza,Low,41
Dairy,320,Festival,454,Frozen,Occasional,Autumn,Finger Food,Upper Egypt,High,50
Bakery,345,Festival,307,Frozen,Occasional,Winter,Plated,Mansoura,Low,9
Vegetables,87,Wedding,355,Refrigerated,Occasional,Spring,Finger Food,Alexandria,Moderate,8
Fruits,299,Birthday,66,Refrigerated,Occasional,Winter,Finger Food,Delta,High,22
Fruits,252,Birthday,195,Refrigerated,Regular,Spring,Finger Food,Mansoura,Moderate,64
Dairy,240,Birthday,524,Refrigerated,Occasional,All Seasons,Buffet,Giza,High,17
Fruits,241,Corporate,408,Room Temperature,Occasional,Spring,Buffet,Delta,Moderate,50
Bakery,332,Festival,91,Room Temperature,Regular,Summer,Finger Food,Giza,Moderate,69
Vegetables,55,Corporate,199,Frozen,Occasional,All Seasons,Buffet,Delta,Low,85
Bakery,240,Corporate,509,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,High,46
Fruits,238,Corporate,579,Frozen,Regular,Spring,Finger Food,Mansoura,High,9
Bakery,423,Corporate,207,Room Temperature,Occasional,Spring,Plated,Upper Egypt,High,39
Vegetables,122,Birthday,145,Frozen,Occasional,Summer,Finger Food,Giza,Low,10
Fruits,56,Birthday,249,Room Temperature,Regular,Spring,Buffet,Mansoura,High,77
Fruits,157,Corporate,117,Refrigerated,Regular,Summer,Plated,Mansoura,Low,33
Dairy,134,Festival,166,Refrigerated,Occasional,Summer,Plated,Upper Egypt,Moderate,65
Fruits,345,Wedding,384,Frozen,Regular,Autumn,Plated,Upper Egypt,Moderate,81
Vegetables,165,Corporate,494,Room Temperature,Occasional,Summer,Plated,Alexandria,Moderate,97
Dairy,76,Wedding,313,Refrigerated,Regular,Autumn,Buffet,Giza,Low,64
Vegetables,100,Wedding,472,Frozen,Occasional,Spring,Plated,Alexandria,Moderate,15
Vegetables,133,Festival,117,Room Temperature,Regular,Spring,Finger Food,Mansoura,Low,58
Dairy,65,Wedding,429,Refrigerated,Occasional,Winter,Finger Food,Mansoura,Moderate,80
Vegetables,257,Festival,290,Room Temperature,Regular,Autumn,Buffet,Alexandria,Low,81
Fruits,353,Festival,134,Refrigerated,Regular,All Seasons,Plated,Cairo,Low,74
Dairy,302,Corporate,205,Refrigerated,Regular,Spring,Buffet,Cairo,Low,42
Fruits,397,Wedding,139,Refrigerated,Regular,Summer,Finger Food,Cairo,Low,79
Meat,70,Corporate,246,Refrigerated,Occasional,Spring,Buffet,Alexandria,High,42
Bakery,478,Corporate,341,Refrigerated,Regular,Spring,Plated,Alexandria,Low,87
Bakery,99,Festival,279,Frozen,Occasional,All Seasons,Finger Food,Alexandria,High,25
Dairy,464,Festival,417,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,58
Vegetables,456,Wedding,384,Refrigerated,Regular,Spring,Buffet,Upper Egypt,Low,9
Meat,80,Corporate,201,Refrigerated,Occasional,Winter,Buffet,Upper Egypt,Low,41
Fruits,402,Wedding,294,Frozen,Occasional,Spring,Finger Food,Cairo,High,90
Bakery,423,Wedding,264,Room Temperature,Regular,Summer,Buffet,Mansoura,Low,49
Meat,75,Corporate,308,Room Temperature,Regular,Spring,Finger Food,Upper Egypt,Moderate,95
Fruits,280,Birthday,384,Frozen,Occasional,Summer,Plated,Upper Egypt,Low,5
Vegetables,178,Festival,145,Room Temperature,Occasional,Winter,Buffet,Giza,Low,70
Bakery,303,Wedding,257,Frozen,Regular,Spring,Buffet,Cairo,High,51
Fruits,459,Wedding,395,Refrigerated,Regular,Spring,Plated,Giza,Low,23
Fruits,398,Wedding,593,Room Temperature,Regular,Spring,Plated,Cairo,Moderate,97
Bakery,330,Wedding,517,Refrigerated,Occasional,Summer,Buffet,Mansoura,High,85
Meat,292,Festival,524,Frozen,Regular,Summer,Plated,Giza,Moderate,38
Fruits,383,Corporate,284,Frozen,Occasional,Spring,Finger Food,Cairo,High,34
Meat,163,Festival,294,Room Temperature,Regular,Spring,Buffet,Cairo,Moderate,73
Bakery,263,Corporate,563,Frozen,Occasional,Autumn,Plated,Cairo,Moderate,79
Vegetables,323,Wedding,168,Refrigerated,Occasional,Autumn,Plated,Alexandria,Low,74
Vegetables,57,Festival,131,Room Temperature,Regular,Spring,Buffet,Cairo,Low,100
Fruits,136,Wedding,313,Room Temperature,Regular,Spring,Buffet,Upper Egypt,Low,51
Meat,441,Wedding,366,Frozen,Regular,All Seasons,Buffet,Cairo,Low,35
Meat,448,Wedding,233,Refrigerated,Occasional,Summer,Buffet,Delta,High,64
Bakery,112,Festival,334,Refrigerated,Occasional,All Seasons,Finger Food,Giza,Moderate,29
Bakery,178,Corporate,138,Refrigerated,Regular,Winter,Finger Food,Giza,High,93
Bakery,149,Festival,409,Refrigerated,Occasional,Spring,Finger Food,Cairo,High,56
Vegetables,135,Birthday,545,Frozen,Regular,Winter,Plated,Mansoura,High,63
Dairy,214,Wedding,253,Refrigerated,Regular,Spring,Buffet,Cairo,High,50
Meat,390,Wedding,396,Room Temperature,Regular,Summer,Finger Food,Cairo,Low,17
Bakery,316,Corporate,189,Room Temperature,Occasional,Autumn,Plated,Upper Egypt,Moderate,20
Bakery,465,Corporate,374,Refrigerated,Occasional,Autumn,Finger Food,Alexandria,Low,18
Meat,203,Birthday,314,Room Temperature,Regular,Summer,Finger Food,Mansoura,Low,72
Fruits,88,Festival,365,Frozen,Occasional,Spring,Buffet,Cairo,Moderate,46
Vegetables,414,Corporate,190,Frozen,Regular,Summer,Buffet,Cairo,Moderate,47
Fruits,113,Birthday,267,Frozen,Regular,Winter,Buffet,Alexandria,Moderate,75
Bakery,489,Corporate,354,Frozen,Occasional,All Seasons,Finger Food,Cairo,Moderate,58
Meat,386,Wedding,325,Frozen,Regular,Winter,Buffet,Cairo,High,5
Meat,294,Corporate,530,Room Temperature,Occasional,Autumn,Buffet,Alexandria,Low,80
Bakery,456,Birthday,133,Room Temperature,Regular,Winter,Plated,Delta,High,18
Meat,290,Birthday,179,Refrigerated,Regular,Spring,Buffet,Upper Egypt,High,39
Bakery,456,Birthday,554,Frozen,Regular,All Seasons,Finger Food,Giza,High,90
Dairy,148,Wedding,402,Refrigerated,Occasional,Autumn,Finger Food,Delta,Moderate,39
Vegetables,365,Corporate,480,Room Temperature,Occasional,All Seasons,Buffet,Mansoura,High,29
Fruits,403,Birthday,238,Frozen,Regular,Winter,Buffet,Upper Egypt,Low,34
Vegetables,431,Corporate,123,Frozen,Occasional,Winter,Buffet,Alexandria,Low,78
Meat,383,Birthday,163,Frozen,Regular,Spring,Buffet,Alexandria,Low,62
Vegetables,125,Corporate,427,Room Temperature,Occasional,Spring,Plated,Delta,High,40
Dairy,389,Birthday,199,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,High,36
Dairy,300,Wedding,497,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Low,12
Meat,433,Festival,586,Room Temperature,Regular,Spring,Buffet,Alexandria,Low,41
Fruits,140,Festival,64,Room Temperature,Regular,Autumn,Finger Food,Alexandria,Moderate,87
Vegetables,280,Birthday,332,Room Temperature,Occasional,Summer,Buffet,Mansoura,Low,61
Vegetables,58,Birthday,547,Room Temperature,Regular,Autumn,Plated,Upper Egypt,Low,19
Fruits,419,Wedding,584,Room Temperature,Regular,Summer,Plated,Delta,Moderate,100
Dairy,60,Corporate,159,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,High,83
Bakery,459,Birthday,558,Frozen,Regular,Winter,Buffet,Alexandria,High,75
Dairy,340,Wedding,51,Room Temperature,Regular,Winter,Buffet,Upper Egypt,Moderate,97
Dairy,178,Wedding,254,Frozen,Occasional,Autumn,Plated,Delta,Moderate,17
Dairy,291,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Mansoura,Low,73
Fruits,302,Birthday,491,Frozen,Regular,All Seasons,Buffet,Delta,Low,34
Dairy,493,Corporate,259,Room Temperature,Occasional,Autumn,Plated,Cairo,Low,92
Bakery,275,Birthday,276,Frozen,Regular,Winter,Finger Food,Cairo,Low,37
Meat,350,Festival,173,Room Temperature,Occasional,Winter,Buffet,Alexandria,Low,83
Meat,97,Wedding,599,Frozen,Regular,All Seasons,Finger Food,Upper Egypt,Moderate,74
Vegetables,386,Corporate,551,Refrigerated,Occasional,Summer,Buffet,Cairo,High,79
Vegetables,344,Wedding,50,Room Temperature,Occasional,Summer,Finger Food,Delta,High,26
Meat,428,Corporate,71,Frozen,Occasional,Winter,Buffet,Giza,Low,99
Meat,425,Birthday,250,Refrigerated,Regular,Winter,Finger Food,Mansoura,Low,89
Dairy,165,Birthday,82,Refrigerated,Regular,Summer,Plated,Alexandria,High,60
Vegetables,402,Corporate,212,Room Temperature,Occasional,All Seasons,Buffet,Alexandria,Low,73
Vegetables,400,Festival,161,Refrigerated,Regular,Winter,Buffet,Giza,Moderate,18
Dairy,167,Birthday,322,Frozen,Occasional,Spring,Buffet,Delta,High,89
Bakery,160,Festival,485,Refrigerated,Occasional,Summer,Finger Food,Alexandria,High,32
Meat,150,Festival,352,Room Temperature,Occasional,All Seasons,Plated,Cairo,High,21
Meat,167,Corporate,540,Room Temperature,Regular,All Seasons,Plated,Giza,High,34
Vegetables,173,Corporate,570,Frozen,Regular,Winter,Plated,Delta,Low,48
Bakery,325,Corporate,315,Room Temperature,Occasional,Autumn,Buffet,Giza,Low,59
Dairy,485,Birthday,193,Refrigerated,Regular,Autumn,Buffet,Delta,Moderate,14
Dairy,419,Corporate,379,Room Temperature,Regular,Summer,Finger Food,Cairo,Low,6
Meat,446,Corporate,81,Refrigerated,Occasional,Winter,Plated,Upper Egypt,High,15
Meat,402,Birthday,542,Refrigerated,Occasional,Autumn,Plated,Alexandria,Low,85
Bakery,63,Birthday,411,Room Temperature,Occasional,All Seasons,Plated,Upper Egypt,Moderate,42
Fruits,131,Corporate,201,Frozen,Occasional,Summer,Finger Food,Delta,Low,24
Vegetables,472,Wedding,563,Frozen,Regular,Summer,Finger Food,Mansoura,Low,69
Dairy,289,Corporate,95,Frozen,Regular,All Seasons,Plated,Alexandria,Low,53
Fruits,375,Wedding,140,Room Temperature,Occasional,Autumn,Buffet,Mansoura,Moderate,77
Meat,170,Festival,202,Room Temperature,Regular,Summer,Finger Food,Upper Egypt,Low,51
Fruits,470,Birthday,434,Frozen,Regular,Autumn,Plated,Cairo,High,65
Meat,258,Birthday,296,Room Temperature,Occasional,Autumn,Finger Food,Cairo,High,86
Bakery,144,Birthday,116,Refrigerated,Occasional,All Seasons,Buffet,Mansoura,Moderate,72
Meat,334,Corporate,317,Frozen,Occasional,Winter,Plated,Mansoura,Moderate,36
Bakery,149,Festival,242,Frozen,Regular,Spring,Finger Food,Giza,Low,91
Meat,122,Festival,352,Frozen,Regular,Autumn,Plated,Upper Egypt,High,90
Fruits,258,Wedding,212,Refrigerated,Regular,Spring,Plated,Giza,Moderate,97
Bakery,270,Birthday,156,Room Temperature,Occasional,All Seasons,Finger Food,Cairo,Moderate,42
Dairy,130,Wedding,432,Room Temperature,Regular,Winter,Finger Food,Giza,High,91
Fruits,224,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Mansoura,Moderate,57
Fruits,491,Wedding,575,Frozen,Regular,Winter,Plated,Cairo,Moderate,35
Bakery,407,Birthday,332,Room Temperature,Regular,Spring,Plated,Upper Egypt,Low,91
Fruits,69,Wedding,108,Room Temperature,Regular,Winter,Buffet,Giza,Moderate,29
Bakery,181,Wedding,175,Room Temperature,Regular,Winter,Buffet,Cairo,Low,96
Bakery,282,Festival,176,Frozen,Regular,Autumn,Buffet,Giza,High,16
Vegetables,302,Birthday,187,Room Temperature,Occasional,Winter,Buffet,Mansoura,Low,97
Meat,92,Festival,385,Room Temperature,Regular,Spring,Plated,Mansoura,High,97
Bakery,54,Corporate,239,Refrigerated,Regular,All Seasons,Plated,Cairo,Moderate,58
Meat,331,Birthday,586,Refrigerated,Regular,Spring,Finger Food,Mansoura,High,94
Dairy,185,Wedding,172,Frozen,Occasional,All Seasons,Plated,Upper Egypt,Low,55
Fruits,362,Wedding,187,Refrigerated,Regular,Summer,Plated,Cairo,Low,72
Bakery,196,Corporate,349,Refrigerated,Regular,Spring,Plated,Mansoura,Moderate,8
Bakery,121,Festival,249,Refrigerated,Regular,Winter,Plated,Delta,High,23
Meat,172,Festival,331,Room Temperature,Occasional,Spring,Buffet,Cairo,Moderate,9
Fruits,116,Festival,93,Room Temperature,Regular,Summer,Buffet,Mansoura,Moderate,59
Dairy,454,Corporate,581,Frozen,Regular,All Seasons,Plated,Giza,Moderate,7
Meat,148,Corporate,582,Refrigerated,Occasional,Spring,Finger Food,Delta,Low,8
Dairy,128,Festival,124,Room Temperature,Regular,All Seasons,Buffet,Giza,Moderate,48
Fruits,76,Festival,571,Frozen,Regular,Spring,Plated,Cairo,Moderate,85
Dairy,267,Birthday,265,Frozen,Occasional,Summer,Plated,Cairo,Low,35
Fruits,333,Corporate,590,Room Temperature,Regular,Summer,Finger Food,Giza,Moderate,90
Bakery,427,Birthday,467,Refrigerated,Regular,Winter,Plated,Alexandria,High,97
Meat,77,Corporate,429,Room Temperature,Regular,Autumn,Buffet,Delta,Moderate,77
Bakery,412,Corporate,346,Room Temperature,Regular,All Seasons,Plated,Mansoura,Moderate,79
Vegetables,256,Festival,434,Frozen,Occasional,Autumn,Plated,Delta,High,100
Dairy,95,Wedding,198,Frozen,Occasional,Autumn,Finger Food,Upper Egypt,High,36
Vegetables,219,Corporate,351,Refrigerated,Occasional,Autumn,Plated,Giza,Low,29
Meat,144,Birthday,351,Refrigerated,Occasional,Spring,Plated,Delta,Low,57
Bakery,408,Corporate,534,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Low,87
Dairy,139,Birthday,366,Frozen,Regular,Autumn,Plated,Giza,Moderate,90
Bakery,235,Birthday,582,Refrigerated,Regular,Summer,Buffet,Alexandria,Moderate,89
Meat,122,Festival,399,Refrigerated,Regular,Spring,Plated,Alexandria,High,91
Vegetables,272,Wedding,145,Frozen,Occasional,Autumn,Finger Food,Alexandria,Moderate,85
Meat,474,Birthday,65,Frozen,Occasional,Spring,Buffet,Upper Egypt,High,23
Vegetables,463,Wedding,394,Refrigerated,Occasional,Winter,Finger Food,Mansoura,High,24
Vegetables,350,Wedding,571,Room Temperature,Regular,All Seasons,Buffet,Mansoura,Low,5
Meat,391,Festival,450,Room Temperature,Regular,All Seasons,Buffet,Mansoura,High,30
Meat,91,Birthday,392,Refrigerated,Regular,All Seasons,Finger Food,Delta,Low,83
Fruits,91,Wedding,124,Frozen,Occasional,All Seasons,Finger Food,Mansoura,Low,85
Bakery,150,Festival,471,Frozen,Regular,All Seasons,Plated,Alexandria,Low,86
Fruits,188,Corporate,557,Room Temperature,Occasional,Autumn,Finger Food,Mansoura,Low,12
Dairy,121,Festival,471,Frozen,Regular,Autumn,Buffet,Alexandria,Low,76
Meat,431,Festival,535,Room Temperature,Regular,Winter,Plated,Upper Egypt,High,13
Fruits,61,Festival,586,Frozen,Occasional,All Seasons,Buffet,Giza,Low,63
Vegetables,95,Birthday,371,Room Temperature,Regular,Winter,Finger Food,Mansoura,Low,64
Bakery,90,Festival,60,Refrigerated,Regular,All Seasons,Buffet,Delta,Low,5
Dairy,107,Birthday,482,Refrigerated,Occasional,Winter,Finger Food,Mansoura,High,78
Fruits,242,Corporate,244,Refrigerated,Occasional,All Seasons,Plated,Delta,Moderate,44
Fruits,353,Corporate,222,Frozen,Occasional,All Seasons,Buffet,Mansoura,Moderate,70
Meat,468,Corporate,491,Room Temperature,Occasional,All Seasons,Buffet,Mansoura,Low,92
Fruits,475,Corporate,457,Room Temperature,Regular,Winter,Finger Food,Upper Egypt,Moderate,90
Bakery,137,Birthday,126,Refrigerated,Regular,All Seasons,Finger Food,Delta,High,28
Meat,371,Birthday,317,Frozen,Occasional,Winter,Plated,Delta,Moderate,99
Dairy,451,Festival,289,Room Temperature,Regular,Autumn,Buffet,Cairo,High,27
Bakery,398,Wedding,468,Refrigerated,Occasional,Winter,Plated,Mansoura,High,7
Dairy,452,Festival,462,Frozen,Regular,Spring,Finger Food,Upper Egypt,Low,56
Dairy,170,Festival,580,Refrigerated,Regular,Summer,Buffet,Mansoura,High,23
Meat,387,Birthday,234,Refrigerated,Occasional,Summer,Plated,Giza,Low,55
Fruits,57,Wedding,508,Refrigerated,Occasional,Spring,Plated,Giza,High,14
Bakery,383,Birthday,124,Frozen,Regular,Summer,Plated,Mansoura,Moderate,81
Meat,335,Wedding,290,Room Temperature,Occasional,Autumn,Buffet,Giza,Low,9
Fruits,458,Corporate,285,Frozen,Occasional,Autumn,Plated,Upper Egypt,Moderate,69
Fruits,381,Birthday,355,Frozen,Occasional,Autumn,Plated,Delta,High,13
Meat,195,Wedding,512,Frozen,Occasional,All Seasons,Plated,Upper Egypt,Moderate,16
Fruits,141,Birthday,461,Room Temperature,Occasional,Spring,Buffet,Delta,High,28
Meat,365,Festival,331,Room Temperature,Regular,Autumn,Buffet,Upper Egypt,High,89
Dairy,303,Festival,443,Frozen,Regular,Autumn,Plated,Mansoura,High,68
Vegetables,478,Birthday,377,Frozen,Regular,Spring,Plated,Cairo,High,73
Fruits,398,Corporate,458,Frozen,Regular,Winter,Finger Food,Cairo,High,39
Meat,389,Wedding,449,Room Temperature,Occasional,Spring,Plated,Cairo,Low,91
Meat,135,Wedding,230,Frozen,Occasional,Summer,Finger Food,Alexandria,Low,72
Dairy,285,Festival,250,Refrigerated,Occasional,Autumn,Finger Food,Giza,High,36
Vegetables,399,Wedding,450,Refrigerated,Regular,Autumn,Plated,Cairo,Moderate,56
Vegetables,183,Corporate,385,Refrigerated,Occasional,Spring,Buffet,Alexandria,Moderate,26
Bakery,137,Festival,276,Frozen,Regular,Summer,Plated,Delta,High,52
Meat,164,Corporate,450,Room Temperature,Occasional,All Seasons,Plated,Mansoura,High,38
Dairy,485,Wedding,66,Frozen,Occasional,Spring,Plated,Alexandria,Moderate,33
Meat,149,Wedding,172,Frozen,Regular,All Seasons,Finger Food,Delta,Moderate,26
Meat,151,Wedding,291,Room Temperature,Regular,All Seasons,Finger Food,Giza,Moderate,44
Meat,216,Wedding,514,Refrigerated,Occasional,Summer,Buffet,Cairo,Low,98
Vegetables,237,Birthday,479,Room Temperature,Regular,Winter,Finger Food,Mansoura,Moderate,10
Meat,367,Wedding,203,Frozen,Regular,Summer,Buffet,Cairo,Moderate,27
Dairy,246,Corporate,586,Room Temperature,Regular,Autumn,Plated,Giza,Moderate,5
Fruits,234,Birthday,290,Frozen,Occasional,Spring,Buffet,Giza,Moderate,76
Dairy,263,Corporate,382,Frozen,Occasional,Spring,Plated,Mansoura,Moderate,43
Vegetables,120,Festival,395,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,98
Bakery,266,Wedding,374,Frozen,Occasional,Winter,Plated,Giza,Moderate,83
Meat,92,Festival,390,Refrigerated,Regular,All Seasons,Buffet,Cairo,Low,44
Fruits,377,Birthday,287,Refrigerated,Regular,Winter,Plated,Cairo,Moderate,45
Meat,156,Corporate,381,Room Temperature,Occasional,All Seasons,Plated,Giza,High,86
Dairy,334,Birthday,152,Room Temperature,Occasional,Summer,Plated,Delta,High,54
Dairy,350,Festival,197,Room Temperature,Regular,Spring,Finger Food,Upper Egypt,Moderate,97
Fruits,379,Festival,203,Frozen,Regular,Winter,Finger Food,Delta,High,95
Vegetables,238,Wedding,264,Refrigerated,Regular,Winter,Plated,Delta,Low,99
Vegetables,147,Corporate,179,Refrigerated,Regular,All Seasons,Plated,Alexandria,High,16
Meat,243,Corporate,142,Frozen,Regular,Spring,Finger Food,Mansoura,Low,31
Bakery,287,Wedding,74,Frozen,Regular,Spring,Finger Food,Delta,High,16
Dairy,140,Birthday,408,Room Temperature,Occasional,Summer,Finger Food,Upper Egypt,Moderate,76
Fruits,297,Birthday,438,Refrigerated,Regular,Summer,Buffet,Delta,Low,70
Dairy,245,Birthday,154,Room Temperature,Regular,Autumn,Buffet,Upper Egypt,Moderate,20
Dairy,139,Corporate,518,Frozen,Regular,Winter,Finger Food,Upper Egypt,High,32
Bakery,385,Birthday,79,Room Temperature,Regular,Winter,Buffet,Delta,High,83
Vegetables,429,Festival,225,Refrigerated,Occasional,Summer,Plated,Delta,Low,86
Fruits,170,Birthday,292,Refrigerated,Occasional,Summer,Plated,Giza,High,74
Vegetables,213,Wedding,323,Room Temperature,Regular,Spring,Plated,Upper Egypt,Moderate,99
Dairy,162,Birthday,452,Room Temperature,Regular,All Seasons,Plated,Alexandria,Moderate,37
Bakery,465,Festival,169,Refrigerated,Occasional,Autumn,Plated,Mansoura,Low,28
Bakery,139,Festival,121,Refrigerated,Regular,Summer,Buffet,Upper Egypt,High,64
Bakery,304,Corporate,269,Room Temperature,Occasional,Winter,Plated,Delta,High,36
Vegetables,126,Corporate,150,Refrigerated,Occasional,Spring,Plated,Upper Egypt,Low,75
Vegetables,138,Corporate,95,Room Temperature,Occasional,Autumn,Plated,Mansoura,High,69
Bakery,492,Festival,407,Frozen,Regular,Summer,Plated,Delta,Moderate,28
Vegetables,376,Festival,112,Refrigerated,Regular,All Seasons,Finger Food,Alexandria,Low,54
Meat,467,Wedding,162,Room Temperature,Regular,Summer,Buffet,Giza,High,78
Meat,61,Birthday,221,Frozen,Occasional,All Seasons,Buffet,Alexandria,Low,66
Fruits,384,Birthday,108,Frozen,Regular,All Seasons,Plated,Mansoura,Moderate,15
Vegetables,401,Festival,145,Frozen,Regular,Winter,Finger Food,Cairo,High,24
Vegetables,109,Birthday,211,Refrigerated,Occasional,Spring,Finger Food,Upper Egypt,Low,11
Meat,360,Corporate,168,Refrigerated,Occasional,Spring,Buffet,Giza,Low,10
Meat,366,Corporate,507,Refrigerated,Occasional,Autumn,Finger Food,Giza,Low,84
Vegetables,68,Wedding,247,Room Temperature,Occasional,Summer,Buffet,Delta,Low,89
Vegetables,283,Wedding,583,Refrigerated,Regular,Summer,Buffet,Cairo,Low,41
Meat,454,Festival,587,Refrigerated,Occasional,All Seasons,Plated,Upper Egypt,Moderate,22
Vegetables,355,Wedding,434,Refrigerated,Regular,Autumn,Buffet,Upper Egypt,Moderate,49
Dairy,479,Corporate,51,Refrigerated,Occasional,Winter,Plated,Delta,Moderate,7
Meat,167,Festival,171,Refrigerated,Occasional,Winter,Finger Food,Alexandria,High,46
Bakery,237,Festival,364,Refrigerated,Regular,All Seasons,Finger Food,Cairo,High,24
Meat,122,Festival,105,Room Temperature,Regular,Summer,Plated,Giza,Moderate,34
Bakery,303,Wedding,111,Refrigerated,Regular,Spring,Plated,Upper Egypt,Low,60
Dairy,491,Corporate,472,Refrigerated,Regular,Winter,Finger Food,Delta,High,18
Fruits,213,Wedding,212,Frozen,Regular,Winter,Plated,Upper Egypt,Moderate,9
Vegetables,80,Corporate,67,Frozen,Occasional,Spring,Finger Food,Delta,High,62
Fruits,266,Wedding,116,Room Temperature,Occasional,Autumn,Plated,Alexandria,Moderate,41
Dairy,481,Birthday,302,Room Temperature,Occasional,All Seasons,Buffet,Alexandria,Moderate,60
Meat,106,Corporate,110,Refrigerated,Regular,All Seasons,Buffet,Cairo,High,57
Bakery,167,Corporate,510,Room Temperature,Occasional,All Seasons,Finger Food,Giza,Moderate,71
Meat,328,Corporate,579,Refrigerated,Occasional,Spring,Buffet,Giza,High,8
Meat,225,Corporate,524,Refrigerated,Regular,Autumn,Buffet,Mansoura,Moderate,18
Vegetables,77,Festival,284,Room Temperature,Regular,All Seasons,Finger Food,Alexandria,High,40
Dairy,203,Birthday,460,Refrigerated,Regular,Winter,Buffet,Cairo,High,60
Vegetables,228,Wedding,507,Room Temperature,Occasional,Autumn,Finger Food,Mansoura,Low,31
Meat,337,Corporate,391,Refrigerated,Regular,Autumn,Finger Food,Giza,Moderate,37
Dairy,251,Festival,202,Refrigerated,Occasional,Autumn,Buffet,Delta,Low,22
Dairy,59,Corporate,108,Room Temperature,Occasional,Spring,Finger Food,Cairo,Moderate,47
Bakery,62,Corporate,169,Refrigerated,Occasional,Autumn,Finger Food,Upper Egypt,Moderate,20
Fruits,69,Corporate,318,Frozen,Regular,Autumn,Plated,Cairo,High,77
Fruits,343,Corporate,372,Refrigerated,Regular,Summer,Buffet,Cairo,Moderate,83
Bakery,306,Corporate,354,Frozen,Occasional,Spring,Plated,Delta,Moderate,86
Vegetables,381,Corporate,253,Room Temperature,Occasional,All Seasons,Finger Food,Mansoura,High,76
Fruits,102,Festival,441,Refrigerated,Regular,Winter,Finger Food,Alexandria,Low,67
Dairy,342,Wedding,304,Refrigerated,Regular,Summer,Finger Food,Giza,Low,99
